"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
783220,785250,"","1","Fajar","56_LOCOMOTE_forelimb_swing"
853280,855950,"","2","Fajar","110_LOCOMOTE_Drop_forelimb_swing"
924160,926870,"","3","Fajar","26_LOCOMOTE_Bimanual_pull_up"
967210,970130,"","4","Fajar","111_LOCOMOTE_Vertical_climb"
1007910,1010220,"","5","Fajar","112_LOCOMOTE_Clamber_walk"
1086730,1089930,"","6","Fajar","35_LOCOMOTE_Flexed_bipedal_walk"
1159020,1161990,"","7","Fajar","56_LOCOMOTE_forelimb_swing"
1205310,1208680,"","8","Fajar","4_Bimanual_forelimb_suspend"
1251260,1254260,"","9","Fajar","76_LOCOMOTE_scoot"
1295660,1298630,"","10","Fajar","56_LOCOMOTE_forelimb_swing"
1348720,1351490,"","11","Fajar","56_LOCOMOTE_forelimb_swing"
1400430,1403110,"","12","Fajar","64_LOCOMOTE_orthograde_clamber"
1455680,1458680,"","13","Fajar","64_LOCOMOTE_orthograde_clamber"

